n k
2304 705
3416 1340
2304 705
1776 291
112 1
24 0
3416 1340
4800 2185
456 1
256 15
1080 0
864 190
2304 705
1776 291
1080 0
1480 270
1480 270
864 6
456 126
864 0
112 1
608 1
384 9
3416 1340
1080 0
1080 209
456 126
112 1
1080 209
288 0
1080 18
1480 270
864 6
1080 0
2688 742
1480 270
1480 270
864 0
864 6
1080 209
288 0
1080 209
256 176
1776 291
2688 742
288 0
456 1
3416 1340
3420 57
2688 742
1296 9
1296 9
3416 1340
2304 705
608 1
1080 209
864 0
1480 270
384 9
2304 705
1480 270
864 190
192 0
864 0
1080 209
1080 209
1080 209
192 0
288 0
864 0
1480 270
1480 270
6840 168
384 9
648 0
288 0
1776 291
1776 291
2304 705
608 1
288 0
456 1
1776 291
1080 18
864 190
1080 209
864 0
1080 209
112 1
4800 2185
288 0
864 190
2304 705
456 1
24 0
384 9
456 1
456 1
288 0
608 1
608 1
1296 9
1080 209
2304 705
648 0
1080 0
256 0
192 0
864 6
3416 1340
864 190
4800 2185
1080 0
1080 18
3416 1340
2304 705
1920 644
1480 270
864 190
4800 2185
288 0
3416 1340
1920 644
864 0
864 6
864 190
608 1
648 0
2304 705
2688 742
2304 705
1480 270
864 190
864 0
1920 644
1080 0
864 0
112 1
1024 0
4800 2185
288 0
1080 0
1480 270
456 1
1080 209
456 1
24 0
288 0
608 1
1080 18
864 6
1776 291
320 0
1776 569
1080 209
1480 270
1080 209
192 0
1080 0
456 1
456 1
1080 0
608 1
1776 291
288 0
456 1
112 1
2688 742
3416 1340
288 0
3416 1340
384 9
864 190
112 1
288 0
1080 209
3416 1340
864 0
864 0
648 0
1296 0
384 9
864 0
456 1
1480 270
6840 168
456 1
288 0
864 0
1080 0
1080 0
864 0
2688 742
6840 168
192 0
1920 644
608 1
1480 270
608 1
1080 209
1480 270
112 1
864 0
608 1
456 1
456 1
288 0
2688 742
3420 57
608 1
456 126
648 0
1480 270
1296 9
1776 291
1776 569
864 0
1080 0
864 190
864 190
1080 0
864 190
1480 270
1776 291
1480 270
1080 209
864 0
864 190
456 1
864 0
864 190
608 1
864 190
2304 705
864 0
608 1
1776 291
2304 705
112 1
1776 291
456 1
1920 644
608 1
192 0
2688 742
1920 644
3416 1340
864 190
1080 209
1080 0
4096 3744
1776 291
864 0
288 0
1776 291
384 9
608 1
8160 135
1080 0
1776 291
608 1
1776 291
192 0
288 0
1080 209
288 0
864 190
1080 0
2688 742
648 0
2688 742
864 0
2304 705
456 1
864 190
1024 358
2304 705
192 0
864 0
456 1
1480 270
864 190
1080 0
2304 705
456 1
2688 742
192 0
864 6
3416 1340
384 9
1080 209
1080 18
608 1
864 0
456 1
1776 291
2688 742
608 1
1080 209
512 0
608 1
864 0
1776 291
456 1
112 1
1920 644
1080 209
456 1
288 0
456 126
256 30
608 1
1080 0
1480 270
864 0
512 120
2304 705
1080 209
1480 270
456 1
864 0
288 0
864 6
288 0
3420 57
192 0
456 1
112 1
112 1
1776 291
864 0
1296 1104
1080 209
1776 291
3416 1340
192 0
456 1
2304 705
608 1
456 1
192 0
1296 9
1480 270
456 1
3416 1340
2304 705
1480 270
2304 705
864 0
864 6
2304 705
2304 705
288 0
456 1
1080 0
2688 742
1296 9
1776 291
1080 209
1080 0
288 0
3416 1340
608 1
7200 159
864 190
456 1
608 1
2304 705
2880 0
2688 742
24 0
288 0
112 1
2304 705
1080 209
608 1
8160 135
288 0
608 1
456 1
2688 742
864 190
2304 705
2688 742
608 1
3416 1340
288 0
1776 291
1080 18
1480 270
288 0
1080 0
288 0
456 1
1776 569
1776 569
1480 270
2304 705
456 1
864 0
8160 135
608 1
14400 279
456 1
1776 569
608 1
1080 0
1776 291
608 1
608 1
1080 209
2304 705
192 0
288 0
864 190
864 190
1776 291
256 0
800 0
1080 0
864 190
3420 57
1080 0
608 1
288 0
864 190
112 1
3416 1340
864 0
1480 270
8160 135
24 0
1776 569
1080 0
192 0
1776 291
4800 2185
24 0
864 190
1480 270
1776 291
4800 2185
864 0
16 0
608 1
1080 209
112 1
2304 705
1080 209
1080 0
864 190
1080 209
864 190
1920 644
1776 291
1920 644
456 1
1080 18
1776 291
1080 0
864 190
1080 209
1480 270
192 0
2304 705
288 0
2304 705
864 190
1776 291
112 1
1080 0
864 190
608 1
288 0
112 1
1080 0
1480 270
192 0
1776 291
24 0
1080 209
1080 0
864 0
1080 0
456 126
1080 209
864 190
8160 135
1776 291
24 0
1480 270
1480 270
1080 209
192 0
1480 270
2304 705
288 0
864 0
192 0
1776 291
2688 742
288 0
288 0
864 0
2304 705
1080 209
1080 18
192 0
128 0
456 1
1776 291
864 190
1080 0
1080 0
1080 0
608 1
4800 2185
288 0
1480 270
864 0
384 9
4800 2185
1776 291
1080 18
2304 705
1776 291
456 126
2304 705
1080 0
1776 291
1480 270
608 1
864 190
2304 705
864 190
2688 742
864 0
432 136
2304 705
864 190
1480 270
24 0
7776 4456
1080 209
112 1
