n k d
2304 705 4
3416 1340 4
2304 705 4
1776 291 4
112 1 4
24 0 0
3416 1340 4
4800 2185 4
456 1 4
1080 0 0
864 190 4
2304 705 4
1776 291 4
1080 0 0
1480 270 4
1480 270 4
864 6 4
456 126 4
864 0 0
112 1 4
608 1 6
384 9 4
3416 1340 4
1080 0 0
1080 209 4
456 126 4
112 1 4
1080 209 4
288 0 0
1080 18 4
1480 270 4
864 6 4
1080 0 0
2688 742 4
1480 270 4
1480 270 4
864 0 0
864 6 4
1080 209 4
288 0 0
1080 209 4
1776 291 4
2688 742 4
288 0 0
456 1 4
3416 1340 4
2688 742 4
1296 9 6
1296 9 6
3416 1340 4
2304 705 4
608 1 6
1080 209 4
864 0 0
1480 270 4
384 9 4
2304 705 4
1480 270 4
864 190 4
192 0 0
864 0 0
1080 209 4
1080 209 4
1080 209 4
192 0 0
288 0 0
864 0 0
1480 270 4
1480 270 4
384 9 4
648 0 0
288 0 0
1776 291 4
1776 291 4
2304 705 4
608 1 6
288 0 0
456 1 4
1776 291 4
1080 18 4
864 190 4
1080 209 4
864 0 0
1080 209 4
112 1 4
4800 2185 4
288 0 0
864 190 4
2304 705 4
456 1 4
24 0 0
384 9 4
456 1 4
456 1 4
288 0 0
608 1 6
608 1 6
1296 9 6
1080 209 4
2304 705 4
648 0 0
1080 0 0
192 0 0
864 6 4
3416 1340 4
864 190 4
4800 2185 4
1080 0 0
1080 18 4
3416 1340 4
2304 705 4
1920 644 4
1480 270 4
864 190 4
4800 2185 4
288 0 0
3416 1340 4
1920 644 4
864 0 0
864 6 4
864 190 4
608 1 6
648 0 0
2304 705 4
2688 742 4
2304 705 4
1480 270 4
864 190 4
864 0 0
1920 644 4
1080 0 0
864 0 0
112 1 4
4800 2185 4
288 0 0
1080 0 0
1480 270 4
456 1 4
1080 209 4
456 1 4
24 0 0
288 0 0
608 1 6
1080 18 4
864 6 4
1776 291 4
1776 569 4
1080 209 4
1480 270 4
1080 209 4
192 0 0
1080 0 0
456 1 4
456 1 4
1080 0 0
608 1 6
1776 291 4
288 0 0
456 1 4
112 1 4
2688 742 4
3416 1340 4
288 0 0
3416 1340 4
384 9 4
864 190 4
112 1 4
288 0 0
1080 209 4
3416 1340 4
864 0 0
864 0 0
648 0 0
384 9 4
864 0 0
456 1 4
1480 270 4
456 1 4
288 0 0
864 0 0
1080 0 0
1080 0 0
864 0 0
2688 742 4
192 0 0
1920 644 4
608 1 6
1480 270 4
608 1 6
1080 209 4
1480 270 4
112 1 4
864 0 0
608 1 6
456 1 4
456 1 4
288 0 0
2688 742 4
608 1 6
456 126 4
648 0 0
1480 270 4
1296 9 6
1776 291 4
1776 569 4
864 0 0
1080 0 0
864 190 4
864 190 4
1080 0 0
864 190 4
1480 270 4
1776 291 4
1480 270 4
1080 209 4
864 0 0
864 190 4
456 1 4
864 0 0
864 190 4
608 1 6
864 190 4
2304 705 4
864 0 0
608 1 6
1776 291 4
2304 705 4
112 1 4
1776 291 4
456 1 4
1920 644 4
608 1 6
192 0 0
2688 742 4
1920 644 4
3416 1340 4
864 190 4
1080 209 4
1080 0 0
1776 291 4
864 0 0
288 0 0
1776 291 4
384 9 4
608 1 6
1080 0 0
1776 291 4
608 1 6
1776 291 4
192 0 0
288 0 0
1080 209 4
288 0 0
864 190 4
1080 0 0
2688 742 4
648 0 0
2688 742 4
864 0 0
2304 705 4
456 1 4
864 190 4
2304 705 4
192 0 0
864 0 0
456 1 4
1480 270 4
864 190 4
1080 0 0
2304 705 4
456 1 4
2688 742 4
192 0 0
864 6 4
3416 1340 4
384 9 4
1080 209 4
1080 18 4
608 1 6
864 0 0
456 1 4
1776 291 4
2688 742 4
608 1 6
1080 209 4
608 1 6
864 0 0
1776 291 4
456 1 4
112 1 4
1920 644 4
1080 209 4
456 1 4
288 0 0
456 126 4
608 1 6
1080 0 0
1480 270 4
864 0 0
2304 705 4
1080 209 4
1480 270 4
456 1 4
864 0 0
864 6 4
288 0 0
192 0 0
456 1 4
112 1 4
112 1 4
1776 291 4
864 0 0
1080 209 4
1776 291 4
3416 1340 4
192 0 0
456 1 4
2304 705 4
608 1 6
456 1 4
192 0 0
1296 9 6
1480 270 4
456 1 4
3416 1340 4
2304 705 4
1480 270 4
2304 705 4
864 0 0
864 6 4
2304 705 4
2304 705 4
288 0 0
456 1 4
1080 0 0
2688 742 4
1296 9 6
1776 291 4
1080 209 4
1080 0 0
288 0 0
3416 1340 4
608 1 6
864 190 4
456 1 4
608 1 6
2304 705 4
2688 742 4
24 0 0
288 0 0
112 1 4
2304 705 4
1080 209 4
608 1 6
288 0 0
608 1 6
456 1 4
2688 742 4
864 190 4
2304 705 4
2688 742 4
608 1 6
3416 1340 4
288 0 0
1776 291 4
1080 18 4
1480 270 4
288 0 0
1080 0 0
288 0 0
456 1 4
1776 569 4
1776 569 4
1480 270 4
2304 705 4
456 1 4
864 0 0
608 1 6
456 1 4
1776 569 4
608 1 6
1080 0 0
1776 291 4
608 1 6
608 1 6
1080 209 4
2304 705 4
192 0 0
288 0 0
864 190 4
864 190 4
1776 291 4
1080 0 0
864 190 4
1080 0 0
608 1 6
288 0 0
864 190 4
112 1 4
3416 1340 4
864 0 0
1480 270 4
24 0 0
1776 569 4
1080 0 0
192 0 0
1776 291 4
4800 2185 4
24 0 0
864 190 4
1480 270 4
1776 291 4
4800 2185 4
864 0 0
608 1 6
1080 209 4
112 1 4
2304 705 4
1080 209 4
1080 0 0
864 190 4
1080 209 4
864 190 4
1920 644 4
1776 291 4
1920 644 4
456 1 4
1080 18 4
1776 291 4
1080 0 0
864 190 4
1080 209 4
1480 270 4
2304 705 4
288 0 0
2304 705 4
864 190 4
1776 291 4
112 1 4
1080 0 0
864 190 4
608 1 6
288 0 0
112 1 4
1080 0 0
1480 270 4
192 0 0
1776 291 4
24 0 0
1080 209 4
1080 0 0
864 0 0
1080 0 0
456 126 4
1080 209 4
864 190 4
1776 291 4
24 0 0
1480 270 4
1480 270 4
1080 209 4
192 0 0
1480 270 4
2304 705 4
288 0 0
864 0 0
192 0 0
1776 291 4
2688 742 4
288 0 0
288 0 0
864 0 0
2304 705 4
1080 209 4
1080 18 4
192 0 0
456 1 4
1776 291 4
864 190 4
1080 0 0
1080 0 0
1080 0 0
608 1 6
4800 2185 4
288 0 0
1480 270 4
864 0 0
384 9 4
4800 2185 4
1776 291 4
1080 18 4
2304 705 4
1776 291 4
456 126 4
2304 705 4
1080 0 0
