n k d wx wz
288 216 4 24 24
288 190 4 24 24
244 146 4 24 24
340 242 4 28 28
128 30 4 16 16
72 22 4 16 16
72 4 6 8 8
200 102 4 24 24
80 8 4 6 6
80 30 4 16 16
164 66 4 16 16
136 38 4 16 16
100 2 8 8 8
32 0 0 4 4
100 50 4 16 16
200 128 4 24 24
100 2 4 6 6
8 0 0 4 4
164 92 4 24 24
100 2 4 8 8
244 146 4 28 28
128 56 4 24 24
32 4 4 8 8
400 302 4 28 28
72 0 0 4 4
72 4 4 8 8
52 2 4 6 6
164 66 4 28 28
52 2 6 8 8
164 66 4 24 24
72 0 0 8 8
20 2 4 6 6
100 2 6 8 8
100 28 4 16 16
128 34 4 16 16
288 190 4 28 28
32 0 0 8 8
208 110 4 28 28
128 60 4 16 16
52 20 4 16 16
100 10 4 8 8
128 56 4 16 16
200 102 4 28 28
